published_date,notice_number,council,trade_name,suburb,address,postcode,date_alleged_offence,offence_code,offence_description,offence_circumstances,party_served_company,party_served_given_name,party_served_surname,penalty_amount,penalty_issued_by,penalty_date_served,updated_date,scrape_timestamp_utc,date_removed_from_website
2024-10-08,3271097042,BURWOOD,D PENYETZ AND D CENDOL,BURWOOD,183C BURWOOD ROAD,2134,2024-07-05,11339,Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination,JC JOY PTY LTD,,,880,Burwood Council,2024-07-26,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3271096667,BURWOOD,GANG THAI BURWOOD,BURWOOD,"SHOP 263, 98A-114 BURWOOD ROAD",2134,2024-06-18,11339,Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination,GANG THAI PTY LTD,,,880,Burwood Council,2024-07-03,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3271096676,BURWOOD,GANG THAI BURWOOD,BURWOOD,"SHOP 263, 98A-114 BURWOOD ROAD",2134,2024-06-18,11339,Fail to comply with Food Standards Code - Corporation,Fail to store potentially hazardous food under temperature control,GANG THAI PTY LTD,,,880,Burwood Council,2024-07-03,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3271096685,BURWOOD,GANG THAI BURWOOD,BURWOOD,"SHOP 263, 98A-114 BURWOOD ROAD",2134,2024-06-18,11339,Fail to comply with Food Standards Code - Corporation,Fail to display potentially hazardous food under temperature control - Previous warning given,GANG THAI PTY LTD,,,880,Burwood Council,2024-07-03,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3271096694,BURWOOD,GANG THAI BURWOOD,BURWOOD,"SHOP 263, 98A-114 BURWOOD ROAD",2134,2024-06-18,11339,Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,GANG THAI PTY LTD,,,880,Burwood Council,2024-07-03,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3271096703,BURWOOD,GANG THAI BURWOOD,BURWOOD,"SHOP 263, 98A-114 BURWOOD ROAD",2134,2024-06-18,11339,Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",GANG THAI PTY LTD,,,880,Burwood Council,2024-07-03,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3271096712,BURWOOD,GANG THAI BURWOOD,BURWOOD,"SHOP 263, 98A-114 BURWOOD ROAD",2134,2024-06-18,11339,Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - Previous warnings given,GANG THAI PTY LTD,,,880,Burwood Council,2024-07-03,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3271096721,BURWOOD,MR STONEBOWL,BURWOOD,"G 122, 122 BURWOOD ROAD",2134,2024-06-20,11339,Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination,MY MR STONEBOWL PTY LTD,,,880,Burwood Council,2024-07-03,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3271096730,BURWOOD,MR STONEBOWL,BURWOOD,"G 122, 122 BURWOOD ROAD",2134,2024-06-20,11339,Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,MY MR STONEBOWL PTY LTD,,,880,Burwood Council,2024-07-03,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3271096740,BURWOOD,MR STONEBOWL,BURWOOD,"G 122, 122 BURWOOD ROAD",2134,2024-06-20,11339,Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",MY MR STONEBOWL PTY LTD,,,880,Burwood Council,2024-07-03,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3271096759,BURWOOD,MR STONEBOWL,BURWOOD,"G 122, 122 BURWOOD ROAD",2134,2024-06-20,11339,Fail to comply with Food Standards Code - Corporation,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition,MY MR STONEBOWL PTY LTD,,,880,Burwood Council,2024-07-03,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3271096768,BURWOOD,MR STONEBOWL,BURWOOD,"G 122, 122 BURWOOD ROAD",2134,2024-06-20,11339,Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",MY MR STONEBOWL PTY LTD,,,880,Burwood Council,2024-07-03,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3271096786,BURWOOD,ZHANG LIANG SPICY HOTPOT,BURWOOD,130 BURWOOD DOAD,2134,2024-06-21,11339,Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination,ENLIGHTEN CAPITAL PTY LTD,,,880,Burwood Council,2024-07-04,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3271096795,BURWOOD,ZHANG LIANG SPICY HOTPOT,BURWOOD,130 BURWOOD ROAD,2134,2024-06-21,11339,Fail to comply with Food Standards Code - Corporation,Fail to store potentially hazardous food under temperature control,ENLIGHTEN CAPITAL PTY LTD,,,880,Burwood Council,2024-07-04,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3271096804,BURWOOD,ZHANG LIANG SPICY HOTPOT,BURWOOD,130 BURWOOD ROAD,2134,2024-06-21,11339,Fail to comply with Food Standards Code - Corporation,Fail to display potentially hazardous food under temperature control,ENLIGHTEN CAPITAL PTY LTD,,,880,Burwood Council,2024-07-04,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3271096813,BURWOOD,ZHANG LIANG SPICY HOTPOT,BURWOOD,130 BURWOOD ROAD,2134,2024-06-21,11339,Fail to comply with Food Standards Code - Corporation,Fail to maintain easily accessible hand washing facilities on the food premises,ENLIGHTEN CAPITAL PTY LTD,,,880,Burwood Council,2024-07-04,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3271096822,BURWOOD,ZHANG LIANG SPICY HOTPOT,BURWOOD,130 BURWOOD ROAD,2134,2024-06-21,11339,Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness - Previous warnings given,ENLIGHTEN CAPITAL PTY LTD,,,880,Burwood Council,2024-07-04,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3271096831,BURWOOD,ZHANG LIANG SPICY HOTPOT,BURWOOD,130 BURWOOD ROAD,2134,2024-06-21,11339,Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - Previous warnings given",ENLIGHTEN CAPITAL PTY LTD,,,880,Burwood Council,2024-07-04,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3271096840,BURWOOD,ZHANG LIANG SPICY HOTPOT,BURWOOD,130 BURWOOD ROAD,2134,2024-06-21,11339,Fail to comply with Food Standards Code - Corporation,"Fail to maintain premises, fixtures, fittings, and equipment in a good state of repair and working order having regard to their use",ENLIGHTEN CAPITAL PTY LTD,,,880,Burwood Council,2024-07-04,2024-10-08,2024-10-08 20:45:07,
